geo_string,Longitude,Latitude
"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.67586234001857,36.005260157704264]}",108.67586234001857,36.005260157704264
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.32389783741866,35.331523694614624]}",107.32389783741866,35.331523694614624
"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.87960482073868,34.46914102185988]}",109.87960482073868,34.46914102185988
"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.35446342848797,35.28660793040864]}",112.35446342848797,35.28660793040864
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.65178291612227,34.41973368123331]}",107.65178291612227,34.41973368123331
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.54398508202797,34.406258951971516]}",107.54398508202797,34.406258951971516
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.14423478059479,34.608379890898405]}",107.14423478059479,34.608379890898405
"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.07885572503824,35.63695089121526]}",111.07885572503824,35.63695089121526
"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.43980338047936,35.29559108324984]}",112.43980338047936,35.29559108324984
"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.66725223613656,35.12041960284653]}",111.66725223613656,35.12041960284653
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.31940626099805,34.41524210481271]}",107.31940626099805,34.41524210481271
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.44067882435422,34.54100624458944]}",107.44067882435422,34.54100624458944
"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.41697244941713,34.98567231022861]}",109.41697244941713,34.98567231022861
"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.22670469795878,34.635329349421994]}",108.22670469795878,34.635329349421994
"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.27611203858538,34.554480973851234]}",108.27611203858538,34.554480973851234
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.77754705589905,34.41524210481271]}",107.77754705589905,34.41524210481271
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.6248334575987,35.610001432691675]}",107.6248334575987,35.610001432691675
"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.13238159312624,34.59939673805721]}",108.13238159312624,34.59939673805721
"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.5337534363527,34.41973368123331]}",109.5337534363527,34.41973368123331
"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.18178893375278,34.82846713550769]}",108.18178893375278,34.82846713550769
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.77754705589905,35.38991418808239]}",107.77754705589905,35.38991418808239
"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.35858195594938,34.54549782101004]}",109.35858195594938,34.54549782101004
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.66525764538409,34.46914102185988]}",107.66525764538409,34.46914102185988
"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.65826908329535,34.4332084104951]}",111.65826908329535,34.4332084104951
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.6248334575987,35.133894332108326]}",107.6248334575987,35.133894332108326
"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.84654224400123,34.8194839826665]}",108.84654224400123,34.8194839826665
"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.07436414861769,35.26415004830566]}",111.07436414861769,35.26415004830566
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.27898207321272,34.496090480383465]}",107.27898207321272,34.496090480383465
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.74161444453426,35.43482995228837]}",107.74161444453426,35.43482995228837
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.50805247066319,35.51567832785912]}",107.50805247066319,35.51567832785912
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.49457774140137,34.31193584713896]}",107.49457774140137,34.31193584713896
"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.58640386056578,36.054667498330836]}",111.58640386056578,36.054667498330836
"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.58191228414518,36.032209616227846]}",111.58191228414518,36.032209616227846
"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.39900614373477,34.39727579913032]}",109.39900614373477,34.39727579913032
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.14872635701533,35.21025113125849]}",107.14872635701533,35.21025113125849
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.51254404708374,34.37481791702733]}",107.51254404708374,34.37481791702733
"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.42595560225834,34.41524210481271]}",109.42595560225834,34.41524210481271
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.22957473258612,34.630837773001396]}",107.22957473258612,34.630837773001396
"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.11154525281654,34.0559159911649]}",109.11154525281654,34.0559159911649
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.69220710390766,34.35685161134494]}",107.69220710390766,34.35685161134494
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.63381661043991,34.4287168340745]}",107.63381661043991,34.4287168340745
"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.36756510879059,34.972197580966814]}",109.36756510879059,34.972197580966814
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.97966799482589,34.53202309174825]}",107.97966799482589,34.53202309174825
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.94822695988171,34.98118073380801]}",107.94822695988171,34.98118073380801
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.18016739195951,34.496090480383465]}",107.18016739195951,34.496090480383465
"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.78815175053347,34.464649445439285]}",108.78815175053347,34.464649445439285
